buyer_week_before,clicked_buy_before,country,existing_buyer,made_purchase_before,saw_cart_before,spend_usd_next_14_days,user_added_credit_card,user_added_dcb,user_added_fop,user_added_gift_card,user_added_paypal,user_id,visit_before
5,1,JP,1,1,1,103.695525,0,1,1,1,0,2.39E+17,1
3,1,JP,1,1,1,168.358845,1,0,1,1,0,1.80E+19,1
8,1,MX,1,1,1,22.919474,1,0,1,0,0,1.29E+19,1
0,0,DE,0,0,1,16.039615,0,0,1,1,0,1.09E+19,1
3,1,ZA,1,1,1,16.707139,1,0,1,0,0,7.06E+18,1
1,1,HU,1,1,1,1.308675,0,1,1,0,0,1.80E+19,1
1,1,MX,1,1,1,5.504843,1,1,1,1,0,1.81E+19,1
1,1,JP,1,1,1,1.078186,0,1,1,0,0,3.05E+18,1
7,1,JP,1,1,1,347.204634,1,1,1,0,0,1.27E+19,1
2,1,CH,1,1,1,54.623446,0,1,1,1,0,3.95E+18,1
0,1,US,1,0,1,0.99,1,0,1,0,0,1.53E+19,1
7,1,HU,1,1,1,10.021374,1,0,1,0,0,4.83E+18,1
0,1,US,1,1,1,1.99,0,0,1,1,0,1.54E+19,1
7,1,JP,1,1,1,39.07315,1,1,1,1,0,1.33E+18,1
0,1,FR,1,1,1,24.732152,0,1,1,0,1,1.66E+19,1
1,1,DE,1,1,1,8.536303,1,0,1,1,0,6.78E+18,1
0,1,US,1,0,1,6.99,1,0,1,1,0,9.36E+18,1
4,1,,1,1,1,165.489238,1,0,1,1,1,1.34E+19,1
5,1,RU,1,1,1,30.905998,1,1,1,0,0,3.83E+18,1
0,1,US,1,1,1,1.02,1,0,1,0,0,1.35E+19,1
1,1,TH,1,1,1,2.204346,1,1,1,0,0,1.13E+19,1
2,1,,1,1,1,148.69,1,0,1,0,0,1.13E+19,1
3,1,MY,1,1,1,6.494757,1,0,1,0,0,3.89E+18,1
0,1,JP,1,1,1,10.781866,0,1,1,0,0,1.09E+18,1
2,1,JP,1,1,1,43.127466,0,0,1,1,0,8.57E+18,1
1,1,TW,1,1,1,16.932425,1,0,1,0,0,1.95E+18,1
2,1,,1,1,1,4.99,0,1,1,0,0,1.27E+19,1
0,1,US,1,0,1,197.76,1,0,1,0,0,1.60E+19,1
0,0,US,1,0,1,0.99,1,0,1,0,1,1.61E+19,1
0,1,US,1,1,1,12.87,0,1,1,0,1,3.67E+18,1
0,1,DE,1,1,1,3.803681,1,0,1,0,0,1.31E+19,1
5,1,JP,1,1,1,22.377647,0,1,1,1,0,1.54E+19,1
2,1,TH,1,1,1,1.02688,0,1,1,0,0,6.74E+18,1
1,1,GB,1,1,1,2.4339,1,0,1,0,0,1.52E+19,1
6,1,IE,1,1,1,74.216153,1,0,1,0,0,1.21E+19,1
1,1,TW,1,1,1,47.809201,0,1,1,0,0,1.31E+19,1
0,0,AT,1,0,1,2.120636,0,1,1,0,0,1.43E+19,1
8,1,FR,1,1,1,37.105036,1,1,1,0,0,1.83E+19,1
0,1,US,1,1,1,10.02,0,0,1,1,0,3.92E+18,1
3,1,TH,1,1,1,3.843466,0,1,1,0,0,9.27E+18,1
8,1,JP,1,1,1,25.988408,0,1,1,0,0,9.91E+18,1
7,1,JP,1,1,1,186.983004,0,1,1,0,0,1.43E+19,1
2,1,KR,1,1,1,16.643654,0,0,1,1,0,5.49E+18,1
8,1,GB,1,1,1,37.112814,1,0,1,0,1,6.45E+18,1
2,1,JP,1,1,1,0.898488,0,1,1,0,0,1.80E+19,1
0,1,US,1,1,1,45.8,1,0,1,0,0,8.06E+18,1
8,1,ES,1,1,1,639.22272,1,1,1,0,0,9.38E+18,1
0,1,US,1,1,1,1.98,1,0,1,1,0,1.16E+19,1
0,1,US,1,1,1,14.99,1,0,1,0,0,4.20E+18,1
1,1,CG,1,1,1,8.04,1,0,1,0,0,1.11E+19,1
0,1,US,1,1,1,9.94,1,0,1,0,0,4.36E+18,1
0,0,US,1,0,1,4.99,1,1,1,0,0,1.63E+19,1
0,0,US,1,0,1,15.7,0,0,1,0,1,7.11E+18,1
0,1,,1,1,1,16.218333,0,0,1,1,0,1.50E+19,1
4,1,JP,1,1,1,96.718162,0,0,1,1,0,9.14E+18,1
3,1,ID,1,1,1,46.279902,0,1,1,0,0,2.44E+18,1
6,1,AU,1,1,1,72.422174,1,1,1,0,0,1.59E+19,1
0,1,US,1,0,1,16.77,1,0,1,1,0,1.53E+16,1
2,1,JP,1,1,1,26.954666,1,0,1,1,0,4.29E+18,1
0,0,US,1,0,1,9.99,0,1,1,0,0,1.35E+19,1
0,1,US,1,1,1,2.99,1,1,1,0,0,1.55E+18,1
2,1,JP,1,1,1,5.390933,0,1,1,1,0,7.98E+18,1
0,1,US,1,0,1,5.99,1,0,1,1,0,1.22E+19,1
1,1,DE,1,1,1,49.176054,0,1,1,1,0,1.42E+19,1
0,1,US,1,1,1,5.97,0,0,1,1,0,4.43E+18,1
4,0,CA,1,0,1,7.527944,0,1,1,0,0,4.09E+17,1
1,1,JP,1,1,1,888.198434,0,1,1,1,0,1.75E+19,1
0,0,US,0,0,1,0.99,1,0,1,0,0,8.78E+18,1
5,1,KR,1,1,1,158.34,1,1,1,0,0,6.57E+18,1
0,0,KR,1,0,1,2.938389,0,1,1,0,0,2.38E+18,1
1,1,TW,1,1,1,13.941516,1,1,1,0,0,5.48E+18,1
7,1,IT,1,1,1,71.321223,0,1,1,0,1,1.13E+19,1
0,1,US,1,1,1,9.49,1,0,1,1,0,6.57E+18,1
1,1,KR,1,1,1,1.961145,0,1,1,0,0,1.34E+19,1
4,1,MY,1,1,1,3.107201,0,1,1,0,0,6.36E+18,1
7,1,JP,1,1,1,330.940831,0,1,1,1,0,1.83E+19,1
6,1,GB,1,1,1,121.109022,1,1,1,0,0,1.73E+19,1
4,1,KR,1,1,1,102.634577,1,1,1,0,0,9.20E+18,1
6,1,CR,1,1,1,77.812116,1,0,1,0,0,2.40E+17,1
1,1,TW,1,1,1,5.511242,0,1,1,0,0,3.07E+18,1
1,1,JP,1,1,1,266.806496,1,1,1,0,0,3.68E+18,1
0,1,US,1,1,1,2.99,0,1,1,0,0,1.22E+19,1
0,1,MY,1,1,1,20.785292,0,1,1,0,0,1.23E+19,1
0,0,US,1,0,1,0.99,1,0,1,1,0,3.89E+18,1
0,1,JP,1,0,1,61.385957,0,1,1,0,0,6.23E+18,1
0,1,US,1,1,1,19.98,1,0,1,1,0,5.38E+18,1
0,1,US,1,1,1,1.99,1,0,1,1,0,1.09E+19,1
8,1,JP,1,1,1,228.729411,1,1,1,0,0,1.82E+19,1
2,1,GB,1,0,1,10.173548,0,1,1,0,1,1.81E+18,1
1,1,BR,1,1,1,9.85352,1,0,1,0,0,5.89E+18,1
6,1,TW,1,1,1,30.207922,0,1,1,0,0,3.73E+18,1
4,1,IN,1,1,1,3.365861,1,0,1,0,0,1.50E+19,1
0,1,US,1,1,1,13.25,1,0,1,1,1,3.03E+18,1
7,1,IT,1,1,1,24.698488,1,1,1,0,0,8.70E+18,1
0,0,US,0,0,1,0.1,0,0,1,1,0,1.22E+19,1
7,1,FR,1,1,1,509.164072,1,0,1,0,0,9.81E+18,1
8,1,SE,1,1,1,76.028611,1,0,1,0,0,1.12E+18,1
6,1,GB,1,1,1,49.913294,1,1,1,0,0,1.54E+19,1
7,1,DE,1,1,1,7.779294,0,1,1,0,1,1.39E+19,1
2,1,JP,1,1,1,2.165211,1,1,1,0,0,3.03E+18,1
7,1,GB,1,1,1,8.910785,0,0,1,0,1,8.87E+18,1
0,1,US,1,1,1,34.9,1,1,1,1,0,1.55E+19,1
5,1,,1,1,1,169.94,1,0,1,0,0,9.05E+18,1
1,1,AU,1,1,1,11.074181,0,0,1,1,0,8.43E+18,1
4,1,DE,1,1,1,40.423535,0,1,1,1,0,2.45E+18,1
0,1,US,1,1,1,2.99,0,1,1,0,0,4.66E+18,1
0,1,US,1,0,1,9.99,0,1,1,0,0,3.00E+18,1
0,1,US,1,0,1,0.99,1,1,1,0,0,4.32E+18,1
0,1,MY,1,1,1,1.751351,0,1,1,0,0,5.59E+18,1
0,1,US,1,1,1,2.98,1,0,1,1,1,1.63E+18,1
2,1,SA,1,1,1,333.028609,1,0,1,0,0,4.67E+18,1
0,1,US,1,1,1,0.99,1,0,1,1,0,1.82E+19,1
7,1,JP,1,1,1,251.562275,1,1,1,0,0,1.78E+19,1
1,1,JP,1,1,1,1.081192,0,0,1,1,0,6.05E+18,1
0,1,MY,0,0,1,1.63894,0,1,1,0,0,7.87E+18,1
5,1,KR,1,1,1,18.045592,0,1,1,0,0,1.65E+19,1
1,1,JP,1,1,1,17.969777,0,1,1,1,0,1.70E+19,1
